account_id,balance,created_on
0,862.8808980019764,1977-09-06
1,2073.2987019707894,1998-10-14
2,1090.323525836951,2008-12-07
3,4398.942393663653,2000-11-18
4,4985.748516754091,2008-03-05
5,32.19622157221824,1994-06-19
6,2677.620556774849,1984-08-15
7,2141.348118301325,2018-12-27
8,248.85178066022252,1997-08-04
9,1923.4729798584044,2016-11-03
10,1362.4240874590093,2008-05-01
11,4855.747175860531,2017-12-05
12,2823.334759432996,1989-06-16
13,1147.8134868622608,1993-03-23
14,3582.746300976124,2002-03-08
15,2733.187513821142,2002-09-06
16,1410.8354680820546,2004-02-04
17,3699.3478920981242,2009-11-22
18,4507.843711977306,2003-08-03
19,323.9359154609328,1981-07-05
20,1537.5922499092576,1995-10-02
21,1636.5468589068637,1978-05-30
22,1865.9845973741901,2001-02-16
23,2401.3483631175395,1991-08-09
24,2910.3019897409667,2000-10-14
25,686.4397529419075,1988-05-15
26,77.49380741725709,1976-12-31
27,2524.2485228137934,1987-05-13
28,1834.9362755354841,1975-05-29
29,3174.0776086332794,2007-09-03
30,4059.978430339055,2007-11-13
31,4384.202822878243,2009-05-27
32,776.2156790404234,1972-04-27
33,883.8244345215895,1987-01-21
34,4956.14324049861,2013-05-03
35,677.9038818568217,1994-07-13
36,1032.5211950184355,2011-07-28
37,4575.605346813879,1982-10-07
38,2483.6869377455873,1999-03-21
39,3836.269628096324,2019-07-25
40,4846.534252668095,1976-06-05
41,1176.5793238789063,1998-11-30
42,660.6430491869892,1977-06-27
43,1168.4478729950836,1986-02-21
44,1923.0331239649056,1980-10-15
45,3042.495421731027,2018-02-21
46,662.7035747837034,1988-06-11
47,2492.3297725919574,1998-08-08
48,4589.3314521019865,1998-03-23
49,3080.0838706617715,1980-10-23
50,130.0722929252518,2002-12-25
51,2980.6280642231595,2001-08-19
52,2445.995675608624,1997-06-29
53,1543.4962515769707,2011-06-18
54,4793.150954696297,1986-05-16
55,2777.6122708903035,2001-04-21
56,815.1861898917434,1970-05-25
57,4395.39274181049,1995-09-21
58,4046.183114995281,2014-10-21
59,3686.857651208158,1985-08-10
60,2730.1441995033492,1982-09-15
61,3521.1203935660733,2001-06-30
62,393.8616908773146,1995-11-20
63,687.2213856989883,2013-08-22
64,2009.271111466693,1994-10-26
65,955.3331442809215,1989-01-27
66,1582.1032518658317,1990-02-03
67,1458.6407089267789,1985-04-23
68,4718.877004801493,1976-03-12
69,1043.3170586186595,1996-09-03
70,1575.7865729354464,2019-02-25
71,3735.360539022512,2008-05-12
72,1248.0448314236614,1982-02-27
73,4314.8136303274,1980-04-14
74,3342.163440801129,1989-11-21
75,3298.8475135650947,2008-12-02
76,1129.5858867506154,1995-09-26
77,1720.8585393274145,2004-04-05
78,811.6610089280613,1975-04-01
79,84.8826153709703,1994-07-11
80,2867.9655320761094,1983-03-11
81,290.9148757276614,1977-11-25
82,3152.189036876567,1996-08-29
83,1767.0978241409064,1977-10-19
84,2455.535479926689,1988-05-07
85,306.6152343364309,1991-12-31
86,1207.3351087034955,1981-11-10
